Using device: cuda
[0.3190 0.2880 0.2541 0.2156 0.1663 0.1200 0.0675]
epoch=    3  step=   50  Loss=4.7400  cls_acc=53.33  best_map=20.44
[0.3855 0.3472 0.3108 0.2634 0.2051 0.1501 0.0832]
epoch=    7  step=  100  Loss=3.9033  cls_acc=60.95  best_map=24.93
[0.4640 0.4212 0.3731 0.3154 0.2493 0.1795 0.0990]
epoch=   11  step=  150  Loss=3.2958  cls_acc=65.24  best_map=30.02
[0.4851 0.4452 0.4016 0.3411 0.2707 0.2015 0.1236]
epoch=   15  step=  200  Loss=2.8039  cls_acc=68.10  best_map=32.41
[0.5431 0.4953 0.4400 0.3699 0.2931 0.2158 0.1307]
epoch=   19  step=  250  Loss=2.4915  cls_acc=74.29  best_map=35.54
[0.5834 0.5337 0.4729 0.3972 0.3119 0.2295 0.1360]
epoch=   23  step=  300  Loss=2.2303  cls_acc=77.62  best_map=38.07
[0.5820 0.5350 0.4744 0.4006 0.3200 0.2338 0.1340]
epoch=   26  step=  350  Loss=2.0479  cls_acc=79.05  best_map=38.28
[0.5941 0.5470 0.4848 0.4112 0.3278 0.2376 0.1398]
epoch=   30  step=  400  Loss=1.9123  cls_acc=81.90  best_map=39.17
[0.6414 0.5927 0.5267 0.4422 0.3535 0.2582 0.1516]
epoch=   34  step=  450  Loss=1.8176  cls_acc=85.24  best_map=42.38
[0.6439 0.5949 0.5293 0.4466 0.3599 0.2603 0.1540]
epoch=   38  step=  500  Loss=1.7305  cls_acc=86.67  best_map=42.70
[0.6402 0.5892 0.5253 0.4436 0.3511 0.2525 0.1492]
epoch=   42  step=  550  Loss=1.6342  cls_acc=86.19  best_map=42.70
[0.6440 0.5923 0.5225 0.4425 0.3524 0.2519 0.1524]
epoch=   46  step=  600  Loss=1.5976  cls_acc=85.24  best_map=42.70
[0.6485 0.5964 0.5279 0.4456 0.3568 0.2569 0.1555]
epoch=   49  step=  650  Loss=1.5271  cls_acc=86.19  best_map=42.70
[0.6583 0.6043 0.5370 0.4547 0.3658 0.2615 0.1569]
epoch=   53  step=  700  Loss=1.4985  cls_acc=87.14  best_map=43.41
[0.6643 0.6101 0.5424 0.4597 0.3665 0.2618 0.1558]
epoch=   57  step=  750  Loss=1.4610  cls_acc=86.19  best_map=43.72
[0.6692 0.6189 0.5490 0.4671 0.3709 0.2646 0.1599]
epoch=   61  step=  800  Loss=1.4002  cls_acc=87.14  best_map=44.28
[0.6652 0.6150 0.5464 0.4653 0.3696 0.2629 0.1574]
epoch=   65  step=  850  Loss=1.3765  cls_acc=88.57  best_map=44.28
[0.6731 0.6213 0.5507 0.4667 0.3727 0.2646 0.1586]
epoch=   69  step=  900  Loss=1.3334  cls_acc=87.14  best_map=44.39
[0.6697 0.6178 0.5440 0.4617 0.3698 0.2633 0.1636]
epoch=   73  step=  950  Loss=1.3057  cls_acc=88.10  best_map=44.39
[0.6841 0.6327 0.5576 0.4708 0.3758 0.2620 0.1572]
epoch=   76  step= 1000  Loss=1.2752  cls_acc=88.10  best_map=44.86
[0.6782 0.6217 0.5505 0.4722 0.3757 0.2686 0.1635]
epoch=   80  step= 1050  Loss=1.2659  cls_acc=87.14  best_map=44.86
[0.6768 0.6264 0.5534 0.4708 0.3774 0.2660 0.1564]
epoch=   84  step= 1100  Loss=1.2314  cls_acc=86.67  best_map=44.86
[0.6740 0.6230 0.5492 0.4659 0.3720 0.2628 0.1566]
